"roman","trans"
"a","ɐ"
"y","j"
"eo","ʌ"
"o","o"
"u","u"
"eu","ɨ"
"i","i"
"ae","ɛ"
"e","e"
"oe","we"
"w","w"
"yi","ы"
"g","k"
"n","n"
"d","t"
"l","ɾ"
"m","m"
"b","p"
"s","s"
"ng","ŋ"
"j","c"
"ch","cʰ"
"k","kʰ"
"t","tʰ"
"p","pʰ"
"h","h"
"gg","k͈"
"dd","t͈"
"bb","p͈"
"ss","s͈"
"jj","c͈"
"gs","ks"
"nj","nɟ"
"nh","nh"
"lg","lg"
"lm","lm"
"lb","lb"
"ls","ls"
"lt","ltʰ"
"lp","lpʰ"
"lh","lh"
"bs","ps"
"r","ɾ"
"c","cʰ"
